lca_class,level,n_wtd,pct,demographic,form,chi2,chi2_p
1,College graduate+,141.24783636716433,27.54905717712636,education,A,32.59853727863751,4.997501249375312e-4
1,Some College,167.2595980018473,32.622405746437614,education,A,32.59853727863751,4.997501249375312e-4
1,HS graduate or less,204.20643260296094,39.828537076436014,education,A,32.59853727863751,4.997501249375312e-4
2,College graduate+,685.3649763693224,37.86478784792345,education,A,32.59853727863751,4.997501249375312e-4
2,Some College,579.9680505131308,32.0418579128264,education,A,32.59853727863751,4.997501249375312e-4
2,HS graduate or less,544.6995002294308,30.093354239250147,education,A,32.59853727863751,4.997501249375312e-4
3,College graduate+,1030.7586712428365,36.99547285353812,education,A,32.59853727863751,4.997501249375312e-4
3,Some College,821.4701721236158,29.48379509254768,education,A,32.59853727863751,4.997501249375312e-4
3,HS graduate or less,933.9463065593807,33.5207320539142,education,A,32.59853727863751,4.997501249375312e-4
1,White non-Hispanic,340.6046791558951,67.1082057842106,race,A,32.98687209336415,4.997501249375312e-4
1,Black non-Hispanic,57.186172194938734,11.267201088311383,race,A,32.98687209336415,4.997501249375312e-4
1,Hispanic,63.92620097224097,12.595166515268058,race,A,32.98687209336415,4.997501249375312e-4
1,Other non-Hispanic,30.488377327471,6.0070234642376095,race,A,32.98687209336415,4.997501249375312e-4
1,Asian non-Hispanic,15.34007119494623,3.02240314797236,race,A,32.98687209336415,4.997501249375312e-4
2,White non-Hispanic,1154.392786647693,63.822169970921195,race,A,32.98687209336415,4.997501249375312e-4
2,Black non-Hispanic,209.98316526314278,11.609203920421187,race,A,32.98687209336415,4.997501249375312e-4
2,Hispanic,274.5785182132399,15.180445566243177,race,A,32.98687209336415,4.997501249375312e-4
2,Other non-Hispanic,85.23743882389083,4.712467343374517,race,A,32.98687209336415,4.997501249375312e-4
2,Asian non-Hispanic,84.57264288983508,4.675713199039905,race,A,32.98687209336415,4.997501249375312e-4
3,White non-Hispanic,1686.2294006423163,60.6227386687084,race,A,32.98687209336415,4.997501249375312e-4
3,Black non-Hispanic,320.707760797746,11.529974963348705,race,A,32.98687209336415,4.997501249375312e-4
3,Hispanic,457.64636808032526,16.45314461024637,race,A,32.98687209336415,4.997501249375312e-4
3,Other non-Hispanic,116.5971616329292,4.191860998565035,race,A,32.98687209336415,4.997501249375312e-4
3,Asian non-Hispanic,200.33238079355712,7.202280759131496,race,A,32.98687209336415,4.997501249375312e-4
1,Male,215.07459315839637,41.927772620409534,gender,A,50.222649945901175,4.997501249375312e-4
1,Female,284.54281001375614,55.47027226150727,gender,A,50.222649945901175,4.997501249375312e-4
1,Other,13.347106308378956,2.6019551180831777,gender,A,50.222649945901175,4.997501249375312e-4
2,Male,830.4200281965793,45.674733948357556,gender,A,50.222649945901175,4.997501249375312e-4
2,Female,945.5891346229898,52.00926119539445,gender,A,50.222649945901175,4.997501249375312e-4
2,Other,42.10767423852802,2.3160048562479973,gender,A,50.222649945901175,4.997501249375312e-4
3,Male,1389.80078652767,49.89841713445913,gender,A,50.222649945901175,4.997501249375312e-4
3,Female,1359.898059348466,48.82481092505859,gender,A,50.222649945901175,4.997501249375312e-4
3,Other,35.56142156407802,1.2767719404822675,gender,A,50.222649945901175,4.997501249375312e-4
1,Rep/Lean Rep,336.7207015530975,65.6421049273151,party,A,64.7766781411924,4.997501249375312e-4
1,Dem/Lean Dem,176.24380792743364,34.35789507268488,party,A,64.7766781411924,4.997501249375312e-4
2,Rep/Lean Rep,905.3037564010277,49.72354185840265,party,A,64.7766781411924,4.997501249375312e-4
2,Dem/Lean Dem,915.3705611668044,50.27645814159736,party,A,64.7766781411924,4.997501249375312e-4
3,Rep/Lean Rep,1259.6698882605333,45.1661388669354,party,A,64.7766781411924,4.997501249375312e-4
3,Dem/Lean Dem,1529.2997245099193,54.83386113306459,party,A,64.7766781411924,4.997501249375312e-4
1,College graduate+,918.9232137386841,36.26958364010102,education,B,27.016721403093296,4.997501249375312e-4
1,Some College,754.5117111825682,29.780318101697194,education,B,27.016721403093296,4.997501249375312e-4
1,HS graduate or less,860.1569212302103,33.95009825820179,education,B,27.016721403093296,4.997501249375312e-4
2,College graduate+,739.3444845780647,36.87962203821938,education,B,27.016721403093296,4.997501249375312e-4
2,Some College,609.0996958933773,30.382814826787687,education,B,27.016721403093296,4.997501249375312e-4
2,HS graduate or less,656.3065293158255,32.737563134992925,education,B,27.016721403093296,4.997501249375312e-4
3,College graduate+,147.21458502991007,25.407873370835226,education,B,27.016721403093296,4.997501249375312e-4
3,Some College,201.3530130344871,34.75166442901673,education,B,27.016721403093296,4.997501249375312e-4
3,HS graduate or less,230.83778105281897,39.84046220014804,education,B,27.016721403093296,4.997501249375312e-4
1,White non-Hispanic,1560.5488475395364,61.87939901523695,race,B,21.154699715984936,0.005997001499250375
1,Black non-Hispanic,319.53063935168205,12.670134588360316,race,B,21.154699715984936,0.005997001499250375
1,Hispanic,364.40682356981796,14.449579886656213,race,B,21.154699715984936,0.005997001499250375
1,Other non-Hispanic,115.38316957380191,4.575211600045188,race,B,21.154699715984936,0.005997001499250375
1,Asian non-Hispanic,162.0503711183265,6.42567490970135,race,B,21.154699715984936,0.005997001499250375
2,White non-Hispanic,1258.8435100811598,63.367851142494345,race,B,21.154699715984936,0.005997001499250375
