class,variable,response_level,probability,form,class_label
1,lca_attitude,1,0.028315852429220165,A,AI-Anxious
1,lca_attitude,2,0.9020313364040361,A,AI-Anxious
1,lca_attitude,3,0.06965281116672963,A,AI-Anxious
2,lca_attitude,1,0.036178395342701834,A,AI-Uninformed
2,lca_attitude,2,0.6897212923883819,A,AI-Uninformed
2,lca_attitude,3,0.2741003122689259,A,AI-Uninformed
3,lca_attitude,1,0.15010676844860285,A,AI-Advantaged
3,lca_attitude,2,0.3635961351579506,A,AI-Advantaged
3,lca_attitude,3,0.48629709639342866,A,AI-Advantaged
1,lca_dom_a,1,0.13063608663593157,A,AI-Anxious
1,lca_dom_a,2,0.8693639133640769,A,AI-Anxious
2,lca_dom_a,1,0.5822919740019664,A,AI-Uninformed
2,lca_dom_a,2,0.4177080259980533,A,AI-Uninformed
3,lca_dom_a,1,0.9452400163645475,A,AI-Advantaged
3,lca_dom_a,2,0.054759983635449386,A,AI-Advantaged
1,lca_dom_b,1,0.04179728013626684,A,AI-Anxious
1,lca_dom_b,2,0.9582027198637313,A,AI-Anxious
2,lca_dom_b,1,0.7669302058593733,A,AI-Uninformed
2,lca_dom_b,2,0.23306979414063184,A,AI-Uninformed
3,lca_dom_b,1,0.9960394519271556,A,AI-Advantaged
3,lca_dom_b,2,0.003960548072842417,A,AI-Advantaged
1,lca_dom_c,1,0.0814225303446003,A,AI-Anxious
1,lca_dom_c,2,0.9185774696554003,A,AI-Anxious
2,lca_dom_c,1,0.7864060169640058,A,AI-Uninformed
2,lca_dom_c,2,0.21359398303599955,A,AI-Uninformed
3,lca_dom_c,1,0.9889176030657206,A,AI-Advantaged
3,lca_dom_c,2,0.011082396934275252,A,AI-Advantaged
1,lca_dom_d,1,0.02331507909272319,A,AI-Anxious
1,lca_dom_d,2,0.9766849209072777,A,AI-Anxious
2,lca_dom_d,1,0.44126505972915553,A,AI-Uninformed
2,lca_dom_d,2,0.5587349402708686,A,AI-Uninformed
3,lca_dom_d,1,0.917097606890563,A,AI-Advantaged
3,lca_dom_d,2,0.0829023931094273,A,AI-Advantaged
